constraint_adjusted,effective_params,metrics,penalties,reason,requested_params,runtime_warning_count,score,stage,trial_label,valid
False,"{""strength"": 1.2, ""smoothing_samples"": 61, ""max_gain"": 8.0}","{""depth_rms_cv"": 0.8793238870733532, ""deep_zone_contrast"": 0.0004693381265135487, ""deep_gain_ratio"": 7.854215853700914, ""deep_gain_effective"": 2.1808937132426105, ""clipping_ratio"": 1.6787283297156739e-06, ""hot_pixel_ratio"": 0.0011902183857684127, ""shallow_blow_ratio"": 0.546055315747755, ""window"": 0.0, ""recommended_min_window"": 10.0, ""short_window_ratio"": 0.0}","{""clipping"": 1.678728329715674e-05, ""hot_pixels"": 0.007141310314610476, ""shallow_blowup"": 0.0, ""short_window"": 0.0}",深部对比提升=7.811，有效提升=2.176，深浅均衡CV=1.0151，过曝比=0.0000，窗口下限=10。,"{""strength"": 1.2, ""smoothing_samples"": 61, ""max_gain"": 8.0}",0,3.0033098707264854,energy_decay_gain,,True
False,"{""strength"": 1.2, ""smoothing_samples"": 101, ""max_gain"": 8.0}","{""depth_rms_cv"": 0.9804160507736, ""deep_zone_contrast"": 0.0004780496337313124, ""deep_gain_ratio"": 8.0, ""deep_gain_effective"": 2.1972245773362196, ""clipping_ratio"": 1.6787283297156739e-06, ""hot_pixel_ratio"": 0.0017710583878500358, ""shallow_blow_ratio"": 0.6945275267744593, ""window"": 0.0, ""recommended_min_window"": 10.0, ""short_window_ratio"": 0.0}","{""clipping"": 1.678728329715674e-05, ""hot_pixels"": 0.010626350327100215, ""shallow_blowup"": 0.0, ""short_window"": 0.0}",深部对比提升=8.000，有效提升=2.197，深浅均衡CV=1.0391，过曝比=0.0000，窗口下限=10。,"{""strength"": 1.2, ""smoothing_samples"": 101, ""max_gain"": 8.0}",0,2.9165979109800007,energy_decay_gain,,True
False,"{""strength"": 1.0, ""smoothing_samples"": 101, ""max_gain"": 8.0}","{""depth_rms_cv"": 1.0137630284243442, ""deep_zone_contrast"": 0.0004780496337313124, ""deep_gain_ratio"": 8.0, ""deep_gain_effective"": 2.1972245773362196, ""clipping_ratio"": 1.6787283297156739e-06, ""hot_pixel_ratio"": 0.002562578795310976, ""shallow_blow_ratio"": 0.7318082818024525, ""window"": 0.0, ""recommended_min_window"": 10.0, ""short_window_ratio"": 0.0}","{""clipping"": 1.678728329715674e-05, ""hot_pixels"": 0.015375472771865857, ""shallow_blowup"": 0.0, ""short_window"": 0.0}",深部对比提升=8.000，有效提升=2.197，深浅均衡CV=1.0391，过曝比=0.0000，窗口下限=10。,"{""strength"": 1.0, ""smoothing_samples"": 101, ""max_gain"": 8.0}",0,2.8773042182195607,energy_decay_gain,,True
False,"{""strength"": 1.2, ""smoothing_samples"": 31, ""max_gain"": 8.0}","{""depth_rms_cv"": 0.8619362675438456, ""deep_zone_contrast"": 0.0004141119087897553, ""deep_gain_ratio"": 6.930023655619102, ""deep_gain_effective"": 2.0706560186964187, ""clipping_ratio"": 1.6787283297156739e-06, ""hot_pixel_ratio"": 0.0013035325480242207, ""shallow_blow_ratio"": 0.5447814749171417, ""window"": 0.0, ""recommended_min_window"": 10.0, ""short_window_ratio"": 0.0}","{""clipping"": 1.678728329715674e-05, ""hot_pixels"": 0.007821195288145323, ""shallow_blowup"": 0.0, ""short_window"": 0.0}",深部对比提升=6.585，有效提升=2.026，深浅均衡CV=0.8679，过曝比=0.0000，窗口下限=10。,"{""strength"": 1.2, ""smoothing_samples"": 31, ""max_gain"": 8.0}",0,2.8244186266784377,energy_decay_gain,,True
False,"{""strength"": 1.2, ""smoothing_samples"": 15, ""max_gain"": 8.0}","{""depth_rms_cv"": 0.8592744929825286, ""deep_zone_contrast"": 0.0003959968593066355, ""deep_gain_ratio"": 6.6268743890171935, ""deep_gain_effective"": 2.03167811379477, ""clipping_ratio"": 1.6787283297156739e-06, ""hot_pixel_ratio"": 0.001240580235659883, ""shallow_blow_ratio"": 0.5498587475428843, ""window"": 0.0, ""recommended_min_window"": 10.0, ""short_window_ratio"": 0.0}","{""clipping"": 1.678728329715674e-05, ""hot_pixels"": 0.0074434814139592975, ""shallow_blowup"": 0.0, ""short_window"": 0.0}",深部对比提升=6.169，有效提升=1.970，深浅均衡CV=0.8167，过曝比=0.0000，窗口下限=10。,"{""strength"": 1.2, ""smoothing_samples"": 15, ""max_gain"": 8.0}",0,2.7530279982305226,energy_decay_gain,,True
False,"{""strength"": 1.0, ""smoothing_samples"": 61, ""max_gain"": 8.0}","{""depth_rms_cv"": 0.8559837489890282, ""deep_zone_contrast"": 0.0003920622476540378, ""deep_gain_ratio"": 6.561029985006054, ""deep_gain_effective"": 2.023007422314342, ""clipping_ratio"": 1.6787283297156739e-06, ""hot_pixel_ratio"": 0.0016762102372211002, ""shallow_blow_ratio"": 0.5417952092051713, ""window"": 0.0, ""recommended_min_window"": 10.0, ""short_window_ratio"": 0.0}","{""clipping"": 1.678728329715674e-05, ""hot_pixels"": 0.0100572614233266, ""shallow_blowup"": 0.0, ""short_window"": 0.0}",深部对比提升=6.077，有效提升=1.957，深浅均衡CV=0.8193，过曝比=0.0000，窗口下限=10。,"{""strength"": 1.0, ""smoothing_samples"": 61, ""max_gain"": 8.0}",0,2.7254049763805472,energy_decay_gain,,True
False,"{""strength"": 1.0, ""smoothing_samples"": 31, ""max_gain"": 8.0}","{""depth_rms_cv"": 0.8525431673500359, ""deep_zone_contrast"": 0.0003587588813962468, ""deep_gain_ratio"": 6.003709340321547, ""deep_gain_effective"": 1.9464399144650564, ""clipping_ratio"": 1.6787283297156739e-06, ""hot_pixel_ratio"": 0.0018457617985223834, ""shallow_blow_ratio"": 0.5428703306243519, ""window"": 0.0, ""recommended_min_window"": 10.0, ""short_window_ratio"": 0.0}","{""clipping"": 1.678728329715674e-05, ""hot_pixels"": 0.011074570791134301, ""shallow_blowup"": 0.0, ""short_window"": 0.0}",深部对比提升=5.280，有效提升=1.837，深浅均衡CV=0.7254，过曝比=0.0000，窗口下限=10。,"{""strength"": 1.0, ""smoothing_samples"": 31, ""max_gain"": 8.0}",0,2.566129632407863,energy_decay_gain,,True
False,"{""strength"": 1.0, ""smoothing_samples"": 15, ""max_gain"": 8.0}","{""depth_rms_cv"": 0.8493987610158037, ""deep_zone_contrast"": 0.0003541509352652472, ""deep_gain_ratio"": 5.926596910048843, ""deep_gain_effective"": 1.9353686262182157, ""clipping_ratio"": 1.6787283297156739e-06, ""hot_pixel_ratio"": 0.0017467168270691585, ""shallow_blow_ratio"": 0.5486701728611431, ""window"": 0.0, ""recommended_min_window"": 10.0, ""short_window_ratio"": 0.0}","{""clipping"": 1.678728329715674e-05, ""hot_pixels"": 0.010480300962414951, ""shallow_blowup"": 0.0, ""short_window"": 0.0}",深部对比提升=5.166，有效提升=1.819，深浅均衡CV=0.7044，过曝比=0.0000，窗口下限=10。,"{""strength"": 1.0, ""smoothing_samples"": 15, ""max_gain"": 8.0}",0,2.5526809613114994,energy_decay_gain,,True
False,"{""strength"": 0.8, ""smoothing_samples"": 101, ""max_gain"": 8.0}","{""depth_rms_cv"": 1.0862918658917542, ""deep_zone_contrast"": 0.00038520301431130597, ""deep_gain_ratio"": 6.446243019657815, ""deep_gain_effective"": 2.0077096125297773, ""clipping_ratio"": 1.6787283297156739e-06, ""hot_pixel_ratio"": 0.003607587180558983, ""shallow_blow_ratio"": 0.7747519052219075, ""window"": 0.0, ""recommended_min_window"": 10.0, ""short_window_ratio"": 0.0}","{""clipping"": 1.678728329715674e-05, ""hot_pixels"": 0.021645523083353897, ""shallow_blowup"": 0.0, ""short_window"": 0.0}",深部对比提升=5.916，有效提升=1.934，深浅均衡CV=0.8174，过曝比=0.0000，窗口下限=10。,"{""strength"": 0.8, ""smoothing_samples"": 101, ""max_gain"": 8.0}",0,2.4185651407375506,energy_decay_gain,,True
False,"{""strength"": 0.8, ""smoothing_samples"": 61, ""max_gain"": 8.0}","{""depth_rms_cv"": 0.8759003545329157, ""deep_zone_contrast"": 0.00033388310219407123, ""deep_gain_ratio"": 5.587421533417261, ""deep_gain_effective"": 1.885162002360829, ""clipping_ratio"": 1.6787283297156739e-06, ""hot_pixel_ratio"": 0.002274676886764738, ""shallow_blow_ratio"": 0.5418436663394828, ""window"": 0.0, ""recommended_min_window"": 10.0, ""short_window_ratio"": 0.0}","{""clipping"": 1.678728329715674e-05, ""hot_pixels"": 0.013648061320588427, ""shallow_blowup"": 0.0, ""short_window"": 0.0}",深部对比提升=4.653，有效提升=1.732，深浅均衡CV=0.6912，过曝比=0.0000，窗口下限=10。,"{""strength"": 0.8, ""smoothing_samples"": 61, ""max_gain"": 8.0}",0,2.358974123685828,energy_decay_gain,,True
