1.255299225e-07,1.255299225e-07,1.255299225e-07,1.255299225e-07,1.255299225e-07,1.255299225e-07,1.255299225e-07,1.255299225e-07,1.255299225e-07,1.255299225e-07,1.255299225e-07,1.255299225e-07,1.255299225e-07,1.255299225e-07,1.255299225e-07,1.255299225e-07,1.255299225e-07,1.255299225e-07,1.255299225e-07,1.255299225e-07,1.255299225e-07
2.864346982e-07,2.864346982e-07,2.864346982e-07,2.864346982e-07,2.864346982e-07,2.864346982e-07,2.864346982e-07,2.864346982e-07,2.864346982e-07,2.864346982e-07,2.864346982e-07,2.864346982e-07,2.864346982e-07,2.864346982e-07,2.864346982e-07,2.864346982e-07,2.864346982e-07,2.864346982e-07,2.864346982e-07,2.864346982e-07,2.864346982e-07
6.008955324e-07,6.008955324e-07,6.008955324e-07,6.008955324e-07,6.008955324e-07,6.008955324e-07,6.008955324e-07,6.008955324e-07,6.008955324e-07,6.008955324e-07,6.008955324e-07,6.008955324e-07,6.008955324e-07,6.008955324e-07,6.008955324e-07,6.008955324e-07,6.008955324e-07,6.008955324e-07,6.008955324e-07,6.008955324e-07,6.008955324e-07
1.176696628e-06,1.176696628e-06,1.176696628e-06,1.176696628e-06,1.176696628e-06,1.176696628e-06,1.176696628e-06,1.176696628e-06,1.176696628e-06,1.176696628e-06,1.176696628e-06,1.176696628e-06,1.176696628e-06,1.176696628e-06,1.176696628e-06,1.176696628e-06,1.176696628e-06,1.176696628e-06,1.176696628e-06,1.176696628e-06,1.176696628e-06
2.177617489e-06,2.177617489e-06,2.177617489e-06,2.177617489e-06,2.177617489e-06,2.177617489e-06,2.177617489e-06,2.177617489e-06,2.177617489e-06,2.177617489e-06,2.177617489e-06,2.177617489e-06,2.177617489e-06,2.177617489e-06,2.177617489e-06,2.177617489e-06,2.177617489e-06,2.177617489e-06,2.177617489e-06,2.177617489e-06,2.177617489e-06
3.847938842e-06,3.847938842e-06,3.847938842e-06,3.847938842e-06,3.847938842e-06,3.847938842e-06,3.847938842e-06,3.847938842e-06,3.847938842e-06,3.847938842e-06,3.847938842e-06,3.847938842e-06,3.847938842e-06,3.847938842e-06,3.847938842e-06,3.847938842e-06,3.847938842e-06,3.847938842e-06,3.847938842e-06,3.847938842e-06,3.847938842e-06
6.549332284e-06,6.549332284e-06,6.549332284e-06,6.549332284e-06,6.549332284e-06,6.549332284e-06,6.549332284e-06,6.549332284e-06,6.549332284e-06,6.549332284e-06,6.549332284e-06,6.549332284e-06,6.549332284e-06,6.549332284e-06,6.549332284e-06,6.549332284e-06,6.549332284e-06,6.549332284e-06,6.549332284e-06,6.549332284e-06,6.549332284e-06
1.081670507e-05,1.081670507e-05,1.081670507e-05,1.081670507e-05,1.081670507e-05,1.081670507e-05,1.081670507e-05,1.081670507e-05,1.081670507e-05,1.081670507e-05,1.081670507e-05,1.081670507e-05,1.081670507e-05,1.081670507e-05,1.081670507e-05,1.081670507e-05,1.081670507e-05,1.081670507e-05,1.081670507e-05,1.081670507e-05,1.081670507e-05
1.744166366e-05,1.744166366e-05,1.744166366e-05,1.744166366e-05,1.744166366e-05,1.744166366e-05,1.744166366e-05,1.744166366e-05,1.744166366e-05,1.744166366e-05,1.744166366e-05,1.744166366e-05,1.744166366e-05,1.744166366e-05,1.744166366e-05,1.744166366e-05,1.744166366e-05,1.744166366e-05,1.744166366e-05,1.744166366e-05,1.744166366e-05
2.759476229e-05,2.759476229e-05,2.759476229e-05,2.759476229e-05,2.759476229e-05,2.759476229e-05,2.759476229e-05,2.759476229e-05,2.759476229e-05,2.759476229e-05,2.759476229e-05,2.759476229e-05,2.759476229e-05,2.759476229e-05,2.759476229e-05,2.759476229e-05,2.759476229e-05,2.759476229e-05,2.759476229e-05,2.759476229e-05,2.759476229e-05
4.300096771e-05,4.300096771e-05,4.300096771e-05,4.300096771e-05,4.300096771e-05,4.300096771e-05,4.300096771e-05,4.300096771e-05,4.300096771e-05,4.300096771e-05,4.300096771e-05,4.300096771e-05,4.300096771e-05,4.300096771e-05,4.300096771e-05,4.300096771e-05,4.300096771e-05,4.300096771e-05,4.300096771e-05,4.300096771e-05,4.300096771e-05
